age,marie,genre,nb_jours_abonne,active_msg_vocaux,nb_msg_vocaux,nb_appel_jour,duree_appel_jour,cout_appel_jour,nb_appel_soiree,duree_appel_soiree,cout_appel_soiree,nb_appel_nuit,duree_appel_nuit,cout_appel_nuit,nb_appel_inter,duree_appel_inter,cout_appel_inter,nb_reclamation,churn,offer_type_target_mean
19,0,0,34,0,0,80,128.8,21.9,93,208.7,17.74,103,202.1,9.09,7,14,3.78,1,0,0.153424658
19,0,0,38,0,0,110,96.9,16.47,75,241.4,20.52,69,141,6.35,3,10.8,2.92,0,0,0.134408602
19,0,0,43,1,36,68,93.1,15.83,83,246.1,20.92,109,94.9,4.27,8,8.7,2.35,1,0,0.146341463
19,0,0,48,1,37,81,138.3,23.51,74,187.6,15.95,113,158,7.11,1,11.6,3.13,2,0,0.17370892
19,0,0,60,0,0,77,207.3,35.24,105,207.9,17.67,89,108.2,4.87,5,12.9,3.48,1,0,0.146341463
19,0,0,62,1,42,95,137.3,23.34,94,184.2,15.66,70,231.4,10.41,3,10.2,2.75,0,0,0.17370892
19,0,0,67,0,0,101,201.4,34.24,122,97.6,8.3,119,202.5,9.11,3,7,1.89,0,0,0.116731518
19,0,0,75,0,0,106,192,32.64,97,140.4,11.93,94,190.1,8.55,5,7.6,2.05,2,0,0.094827586
19,0,0,87,0,0,104,129.5,22.02,133,194,16.49,65,287.9,12.96,7,7.2,1.94,2,0,0.094827586
19,0,0,106,0,0,89,208.3,35.41,67,169.4,14.4,90,102,4.59,4,15.9,4.29,3,0,0.185483871
19,0,0,107,0,0,75,156.3,26.57,93,215.3,18.3,115,118.2,5.32,2,8.8,2.38,1,0,0.144859813
19,0,0,109,0,0,143,184.1,31.3,105,211.7,17.99,116,243,10.93,2,9.9,2.67,1,0,0.185483871
19,0,0,117,1,13,65,207.6,35.29,77,152.7,12.98,95,232.8,10.48,3,9.7,2.62,1,0,0.094827586
19,0,0,119,0,0,126,226.6,38.52,107,143.6,12.21,123,94.9,4.27,5,12.1,3.27,1,0,0.144859813
19,0,0,135,0,0,81,201.8,34.31,114,225,19.13,82,204.4,9.2,6,10.3,2.78,1,0,0.098591549
19,0,0,140,0,0,134,149.8,25.47,98,164.4,13.97,124,294.7,13.26,2,8.1,2.19,1,0,0.122137405
19,0,0,143,1,26,133,119.6,20.33,136,247,21,54,227.3,10.23,3,13,3.51,1,0,0.135951662
19,0,0,157,0,0,113,248.7,42.28,79,251.8,21.4,46,262.7,11.82,3,7.5,2.03,5,1,0.144859813
19,0,0,161,0,0,141,297.9,50.64,107,238.1,20.24,93,240.5,10.82,5,8.9,2.4,1,1,0.185483871
19,0,0,172,0,0,100,211.7,35.99,101,198.7,16.89,136,301.7,13.58,9,6.5,1.76,1,0,0.174107143
19,0,0,176,0,0,108,250.9,42.65,100,171.4,14.57,85,148.6,6.69,6,9.6,2.59,2,0,0.142857143
19,0,1,44,0,0,121,228.1,38.78,79,276.5,23.5,77,279.8,12.59,5,9.9,2.67,2,1,0.131578947
19,0,1,58,1,20,110,194.5,33.07,89,213.7,18.16,92,236.6,10.65,2,9.5,2.57,1,0,0.122137405
19,0,1,59,0,0,119,119,20.23,115,134.5,11.43,75,298.6,13.44,6,9,2.43,2,1,0.185483871
19,0,1,65,0,0,116,187.9,31.94,117,157.6,13.4,86,227.3,10.23,6,7.5,2.03,1,0,0.166666667
19,0,1,78,0,0,141,236.8,40.26,101,265.3,22.55,77,152.4,6.86,2,9.5,2.57,1,1,0.174107143
19,0,1,81,0,0,99,115.3,19.6,117,224.7,19.1,98,152.5,6.86,2,18,4.86,1,0,0.185483871
19,0,1,84,0,0,72,214.9,36.53,92,197.7,16.8,79,153.1,6.89,2,11.9,3.21,2,0,0.122137405
19,0,1,84,0,0,102,138.6,23.56,93,199,16.92,137,204.1,9.18,4,7.8,2.11,0,0,0.135951662
19,0,1,96,1,29,91,150,25.5,75,159.4,13.55,55,228.1,10.26,3,8.5,2.3,1,0,0.120879121
19,0,1,100,0,0,107,216.2,36.75,84,215.6,18.33,127,138.4,6.23,3,10.2,2.75,0,0,0.131578947
19,0,1,103,0,0,103,228.4,38.83,129,97.3,8.27,67,199.9,9,7,9.4,2.54,3,0,0.166023166
19,0,1,104,0,0,92,118.5,20.15,109,177.8,15.11,98,255.7,11.51,4,12.1,3.27,1,0,0.153424658
19,0,1,104,0,0,108,246.4,41.89,102,205.5,17.47,125,208.1,9.36,8,14.1,3.81,2,0,0.122137405
19,0,1,112,0,0,112,135.1,22.97,85,226.3,19.24,108,115.2,5.18,6,11.1,3,1,0,0.141176471
19,0,1,113,1,39,77,209.8,35.67,90,164.1,13.95,100,159.7,7.19,4,9,2.43,1,0,0.17370892
19,0,1,114,0,0,113,206.3,35.07,97,223.5,19,119,234.3,10.54,6,8.1,2.19,2,0,0.122137405
19,0,1,115,1,29,81,222.6,37.84,109,190.3,16.18,87,201.2,9.05,2,11.5,3.11,1,0,0.166023166
19,0,1,116,0,0,107,254.6,43.28,89,249.4,21.2,77,229.6,10.33,18,9,2.43,2,1,0.166023166
19,0,1,120,0,0,133,185.7,31.57,149,235.1,19.98,78,256.4,11.54,6,16.9,4.56,0,0,0.166023166
19,0,1,127,1,33,94,180.5,30.69,107,241.9,20.56,113,225.4,10.14,2,7.4,2,1,0,0.098901099
19,0,1,136,0,0,122,199.2,33.86,114,214.7,18.25,105,150.9,6.79,7,11.8,3.19,1,0,0.153846154
19,0,1,139,1,25,112,96.2,16.35,70,178.9,15.21,84,182.1,8.19,10,12.9,3.48,2,0,0.120879121
19,0,1,145,1,43,97,257.7,43.81,95,162.1,13.78,86,286.9,12.91,4,11.1,3,2,0,0.153424658
19,0,1,154,0,0,93,191.4,32.54,119,205.4,17.46,121,205.7,9.26,3,10.2,2.75,3,0,0.153846154
19,0,1,163,1,40,56,231.9,39.42,91,211.8,18,74,268.5,12.08,3,12.3,3.32,2,0,0.153424658
19,0,1,168,1,22,70,175.9,29.9,105,211.7,17.99,81,174.5,7.85,5,7.3,1.97,2,0,0.153424658
19,0,1,183,1,31,104,171.2,29.1,74,193.6,16.46,85,196.5,8.84,4,10.2,2.75,1,0,0.17370892
19,1,0,54,1,24,88,92.3,15.69,98,193.1,16.41,119,99.3,4.47,3,11.6,3.13,2,0,0.194444444
19,1,0,59,1,28,97,120.9,20.55,92,213,18.11,116,163.1,7.34,5,8.5,2.3,2,0,0.204545455
19,1,0,62,0,0,109,248.7,42.28,118,220,18.7,78,265.7,11.96,2,13.2,3.56,1,1,0.131578947
19,1,0,74,0,0,113,286.9,48.77,121,260.8,22.17,94,137.1,6.17,6,12.6,3.4,0,1,0.141176471
19,1,0,79,0,0,107,213.4,36.28,82,176.2,14.98,125,180.1,8.1,4,7.9,2.13,0,0,0.098901099
19,1,0,81,1,17,94,268.1,45.58,124,156.1,13.27,90,160.4,7.22,5,13.6,3.67,2,0,0.116731518
19,1,0,83,1,32,111,94.7,16.1,98,154.4,13.12,109,200.4,9.02,6,10.6,2.86,2,0,0.095238095
19,1,0,86,0,0,93,217.8,37.03,95,214.7,18.25,70,228.7,10.29,7,11.3,3.05,0,0,0.153846154
19,1,0,93,0,0,93,179.3,30.48,65,188.8,16.05,88,253.2,11.39,5,12.1,3.27,1,0,0.116731518
19,1,0,95,1,22,126,40.9,6.95,90,133.4,11.34,91,264.2,11.89,7,11.9,3.21,0,0,0.116731518
19,1,0,97,0,0,84,169.7,28.85,86,165.9,14.1,83,191.9,8.64,6,12.8,3.46,3,0,0.120879121
19,1,0,97,0,0,110,87.1,14.81,110,202.1,17.18,89,137.9,6.21,4,14.4,3.89,2,0,0.098901099
19,1,0,105,0,0,100,213.4,36.28,52,204.9,17.42,93,179.7,8.09,6,9.5,2.57,1,0,0.144859813
19,1,0,113,0,0,93,155,26.35,106,330.6,28.1,123,189.4,8.52,3,13.5,3.65,1,0,0.095238095
19,1,0,116,1,42,95,280.4,47.67,101,174.4,14.82,65,190,8.55,1,9.9,2.67,3,0,0.17370892
19,1,0,119,1,16,103,147.2,25.02,96,160.1,13.61,120,184,8.28,2,7.7,2.08,0,1,0.185483871
19,1,0,120,0,0,110,158,26.86,103,197,16.75,132,154.9,6.97,5,10,2.7,1,0,0.120879121
19,1,0,123,0,0,119,163.1,27.73,51,249.4,21.2,77,168.2,7.57,10,9,2.43,1,0,0.138461538
19,1,0,127,1,14,99,143.2,24.34,91,169.9,14.44,77,221.6,9.97,1,11.6,3.13,1,0,0.138461538
19,1,0,128,1,18,89,222.1,37.76,109,160.6,13.65,102,218.8,9.85,2,13.6,3.67,0,1,0.120879121
19,1,0,142,1,22,114,224.4,38.15,106,146,12.41,98,241.4,10.86,2,8.8,2.38,1,0,0.166023166
19,1,0,155,1,30,103,61.6,10.47,110,255.1,21.68,96,225.9,10.17,5,12.4,3.35,1,0,0.185483871
19,1,1,3,0,0,87,182.9,31.09,103,172.1,14.63,89,233.1,10.49,3,12.1,3.27,4,0,0.132075472
19,1,1,43,0,0,125,168.4,28.63,89,243.8,20.72,102,214.7,9.66,2,11.1,3,1,0,0.166666667
19,1,1,51,0,0,103,95.3,16.2,116,189.3,16.09,110,238.7,10.74,4,13.6,3.67,1,0,0.163265306
19,1,1,58,0,0,105,243.1,41.33,108,231.4,19.67,120,180.9,8.14,4,7.8,2.11,2,0,0.132075472
19,1,1,67,0,0,96,125,21.25,114,294.5,25.03,75,205.7,9.26,4,10.2,2.75,1,1,0.135951662
19,1,1,74,1,35,104,154.1,26.2,84,123.4,10.49,57,202.1,9.09,9,10.9,2.94,2,0,0.135951662
19,1,1,78,0,0,122,191.7,32.59,88,241.4,20.52,86,203.5,9.16,5,9.1,2.46,1,0,0.135951662
19,1,1,78,0,0,124,89.1,15.15,121,226.6,19.26,88,249.2,11.21,5,6.9,1.86,0,0,0.146341463
19,1,1,79,0,0,90,144,24.48,91,135.8,11.54,129,212.4,9.56,4,13,3.51,1,0,0.185483871
19,1,1,80,0,0,83,197.6,33.59,86,164.5,13.98,98,94,4.23,6,6.4,1.73,1,0,0.17370892
19,1,1,83,0,0,70,78.1,13.28,115,239.3,20.34,112,144.4,6.5,4,12.3,3.32,1,0,0.135951662
19,1,1,84,0,0,125,159.5,27.12,90,247.1,21,82,187.9,8.46,4,7.2,1.94,2,0,0.194444444
19,1,1,88,0,0,112,85.7,14.57,70,221.6,18.84,75,190.6,8.58,3,11.6,3.13,4,1,0.166023166
19,1,1,91,1,27,96,204.6,34.78,93,136,11.56,82,210.5,9.47,2,6.6,1.78,3,0,0.142857143
19,1,1,100,1,26,80,197.7,33.61,83,232.6,19.77,120,196.7,8.85,5,12,3.24,1,0,0.163265306
19,1,1,104,0,0,78,139.7,23.75,119,202.6,17.22,102,203.6,9.16,5,11.3,3.05,2,0,0.142857143
19,1,1,110,0,0,91,251.3,42.72,95,207.2,17.61,70,249,11.21,2,12.9,3.48,1,1,0.166023166
19,1,1,112,0,0,69,242.1,41.16,150,235.2,19.99,106,237.7,10.7,5,10,2.7,3,1,0.146341463
